rank,severity,title,labels,body
1,Critical,[SuperAdmin] Admin Email format & duplicate validation,"bug,P0,role:superadmin,security,validation","**Source:** SuperAdmin role test suite — Test Case `TC-040`
**Module:** Add College
**Original QA Priority:** High
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Admin Email format & duplicate validation

**Expected Result:**
Proper validation error should be shown

**Actual Result / QA Notes:**
Duplicate email correctly prevents college creation, but the error message is not shown properly. It displays a raw backend error (""Validation Error: E11000 duplicate key error collection: SMARTCOLLEGE.colleges index: email_1 dup key: { email: 'tccollege@gmail.com' }"") instead of a proper, user-friendly validation message.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
2,Critical,[Admin Officer] Verify Pending Fee Students Cannot Be Promoted,"bug,P0,role:admin-officer","**Source:** Admin Officer role test suite — Test Case `ADM-TC-020`
**Module:** Student Promotion
**Original QA Priority:** High
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Verify Pending Fee Students Cannot Be Promoted

**Expected Result:**
System blocks promotion or flags student as ineligible due to unmet fee/attendance criteria

**Actual Result / QA Notes:**
The system does not display the reason why the student was not promoted

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
3,Critical,[Student] Session expiry / token expiry,"bug,P0,role:student,security,ui-state","**Source:** Student role test suite — Test Case `TC-007`
**Module:** Login/Auth
**Original QA Priority:** Medium
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Session expiry / token expiry

**Expected Result:**
User redirected to login with session-expired message

**Actual Result / QA Notes:**
When the session/token expires, the app does not properly redirect to the login page or show any clear indication that the session has expired. The user is left confused about why they've been logged out. Only after manually refreshing the page does it redirect to the login screen — there's no proactive session-expired message or automatic redirect when the token actually expires

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
4,Critical,[Student] Apply Filters functionality,"bug,P0,role:student,security,ui-state","**Source:** Student role test suite — Test Case `TC-089`
**Module:** Attendance
**Original QA Priority:** Medium
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Apply Filters functionality

**Expected Result:**
Report data filters to show only matching records, counters recalculate for filtered range

**Actual Result / QA Notes:**
Failure reason: ""Applying a date range filter that excludes the only existing attendance session (Jul 6) still shows the unfiltered data (1 lecture, 100%). The 'Filters applied successfully' toast appears, but the underlying data/UI does not actually update to reflect the filter. Confirmed with two separate test ranges (07/10-07/18 and 07/01-07/04), both excluding Jul 6, both showing stale unfiltered results.  Applying date range filters correctly updates the backend query (confirmed via Download Report PDF showing accurate 0/0/0% for filtered range), but the on-screen UI (counters, subject-wise table, session-wise report) does NOT refresh/re-render with the filtered data — it continues showing stale unfiltered results. This is a frontend UI-state bug, not a backend filtering bug

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
5,Critical,[SuperAdmin] Toggle college status (Active -> Inactive),"bug,P0,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-056`
**Module:** Colleges List
**Original QA Priority:** High
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Toggle college status (Active -> Inactive)

**Expected Result:**
Status should change, confirmation dialog should appear, college admin/users access should be disabled

**Actual Result / QA Notes:**
When the user clicks the Deactivate button for a college, the system first displays a Server Error message. After that, the Deactivate College confirmation dialog appears. Upon confirming the deactivation, the system displays a ""Colleges Loading Error"" message before finally marking the college as Inactive.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
6,Critical,[SuperAdmin] Toggle college status back (Inactive -> Active),"bug,P0,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-057`
**Module:** Colleges List
**Original QA Priority:** High
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Toggle college status back (Inactive -> Active)

**Expected Result:**
Status should become Active and access should resume

**Actual Result / QA Notes:**
When the user clicks the active button for a college, the system first displays a Server Error message. After that, the activate College confirmation dialog appears. Upon confirming the activation, the system displays a ""Colleges Loading Error"" message before finally marking the college as active.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
7,Critical,[SuperAdmin] Filter by College,"bug,P0,role:superadmin,security,ui-state","**Source:** SuperAdmin role test suite — Test Case `TC-072`
**Module:** Security Audit
**Original QA Priority:** High
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Filter by College

**Expected Result:**
Only events related to that college should be shown

**Actual Result / QA Notes:**
Only one college's audit logs are displayed in the Security Audit module. The College filter is not functioning as expected because audit records for other colleges are not available, making it impossible to verify whether the filter correctly displays events for the selected college.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
8,Critical,[SuperAdmin] Sensitive data exposure check (user email truncation),"bug,P0,role:superadmin,security","**Source:** SuperAdmin role test suite — Test Case `TC-083`
**Module:** Security Audit
**Original QA Priority:** Medium
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Sensitive data exposure check (user email truncation)

**Expected Result:**
Full email should be shown securely or restricted per access control

**Actual Result / QA Notes:**
Truncated email in the User column does not show the full email on hover or click — no tooltip or expand functionality exists

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
9,Critical,[SuperAdmin] Real-time monitoring update,"bug,P0,role:superadmin,security,ui-state","**Source:** SuperAdmin role test suite — Test Case `TC-084`
**Module:** Security Audit
**Original QA Priority:** Medium
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Real-time monitoring update

**Expected Result:**
New event should appear in the list

**Actual Result / QA Notes:**
New login event (Accountant login at Test College) did not appear in Security Events Log after refreshing the page — real-time monitoring is not updating with new events.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
10,Critical,[SuperAdmin] Verify User email/identifier is displayed correctly,"bug,P0,role:superadmin,security","**Source:** SuperAdmin role test suite — Test Case `TC-086`
**Module:** Security Audit
**Original QA Priority:** High
**Assigned Severity:** P0 (Critical)

**Test Scenario:** Verify User email/identifier is displayed correctly

**Expected Result:**
The complete user email or configured user identifier should be displayed correctly without unexpected truncation or corruption.

**Actual Result / QA Notes:**
On the Security Audit page, the User column displays encrypted or truncated values (e.g., enc:+r3ao7qhoikelf9c...) instead of the actual user email or username, making it difficult for administrators to identify which user performed the action.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
